Time,Num,Group,Latitude,Longitude,NumPoint,ValidPoint,NoValidPoint,SeqValid,Diam_Km,Wind_M_s,Stage,Sat,StartCell,EndCell,DateSelect,DateStart,DateEnd
08-Dec-2015 14:13:00,48,NaN,59.0860658513832,-51.1674872183179,10,10,0,111111111,138,NaN,2,1,436,445,08-Dec-2015 14:13:00,08-Dec-2015 00:47:00,09-Dec-2015 05:32:00
13-Dec-2015 04:58:00,49,NaN,73.1204146222157,30.7818402585373,12,0,12,00000000000,304,NaN,2,2,446,457,13-Dec-2015 04:58:00,12-Dec-2015 18:33:00,13-Dec-2015 14:23:00
13-Dec-2015 23:10:00,50,NaN,71.9342059671956,36.2913356211339,6,0,6,00000,391,NaN,2,2,458,463,13-Dec-2015 23:10:00,13-Dec-2015 17:38:00,14-Dec-2015 04:03:00
14-Dec-2015 04:02:00,51,NaN,76.4355540002111,52.3245672799196,11,0,11,0000000000,231,NaN,3,2,464,474,14-Dec-2015 04:02:00,13-Dec-2015 17:38:00,14-Dec-2015 11:50:00
14-Dec-2015 11:51:00,52,NaN,70.954196846876,41.2154094550886,17,0,17,0000000000000000,477,NaN,2,1,475,491,14-Dec-2015 11:51:00,13-Dec-2015 19:15:00,15-Dec-2015 04:44:00
14-Dec-2015 10:33:00,53,NaN,73.427946359407,39.1649383665862,16,0,16,000000000000000,184,NaN,2,2,492,507,14-Dec-2015 10:33:00,13-Dec-2015 23:10:00,15-Dec-2015 01:31:00
15-Dec-2015 08:00:00,54,NaN,74.9253930817533,41.3556385493702,14,0,14,0000000000000,205,NaN,2,2,508,521,15-Dec-2015 08:00:00,14-Dec-2015 22:13:00,15-Dec-2015 19:03:00
15-Dec-2015 08:00:00,55,NaN,74.5173932249546,29.872584746931,12,0,12,00000000000,278,NaN,2,2,522,533,15-Dec-2015 08:00:00,14-Dec-2015 23:52:00,15-Dec-2015 17:25:00
15-Dec-2015 15:47:00,56,NaN,71.5544313691901,45.735463083617,12,0,12,00000000000,311,NaN,2,1,534,545,15-Dec-2015 15:47:00,15-Dec-2015 07:40:00,16-Dec-2015 05:26:00
15-Dec-2015 17:28:00,57,NaN,75.8836770782159,2.1325168112461,6,0,6,00000,104,NaN,2,1,546,551,15-Dec-2015 17:28:00,15-Dec-2015 14:13:00,15-Dec-2015 22:21:00
16-Dec-2015 13:16:00,58,NaN,71.5180823936977,44.9802733137028,13,0,13,000000000000,1,NaN,2,1,552,564,16-Dec-2015 13:16:00,16-Dec-2015 03:51:00,17-Dec-2015 01:20:00
26-Dec-2015 06:06:00,59,NaN,73.9301555980445,19.6038936703484,14,0,14,0000000000000,171,NaN,2,2,565,578,26-Dec-2015 06:06:00,25-Dec-2015 18:04:00,26-Dec-2015 17:07:00
31-Dec-2015 04:53:00,60,NaN,58.5808681517607,-29.7626079430759,6,6,0,11111,263,NaN,2,2,579,584,31-Dec-2015 04:53:00,30-Dec-2015 23:13:00,31-Dec-2015 22:19:00
